Location: BedRoom
TIME		Heating		Ventilator	Lights	Energy Used
00:42:52	1		0		1	400
01:42:52	1		0		1	400
02:42:52	1		0		1	400
03:42:52	1		0		1	400
04:42:52	1		0		1	400
05:42:52	1		0		1	400
06:42:52	1		0		1	400
07:42:52	1		0		1	400
08:42:52	0		0		0	0
09:42:52	0		1		0	250
10:42:52	0		0		0	0
11:42:52	0		0		0	0
12:42:52	0		0		0	0
13:42:52	0		0		0	0
14:42:52	0		0		0	0
15:42:52	0		0		0	0
16:42:52	0		1		0	250
17:42:52	0		1		0	250
18:42:52	1		0		1	400
19:42:52	1		1		1	650
20:42:52	1		0		1	400
21:42:52	1		0		1	400
22:42:52	1		0		1	400
23:42:52	1		1		1	650

Location: Kitchen
TIME		Heating		Ventilator	Lights	Energy Used
00:38:17	1		0		1	400
01:38:17	1		0		1	400
02:38:17	1		0		1	400
03:38:17	1		0		1	400
04:38:17	1		0		1	400
05:38:17	1		0		1	400
06:38:17	1		0		1	400
07:38:17	1		0		1	400
08:38:17	1		0		1	400
09:38:17	0		1		1	350
10:38:17	0		0		1	100
11:38:17	0		0		1	100
12:38:17	0		0		1	100
13:38:17	1		0		1	400
14:38:17	0		0		1	100
15:38:17	0		0		1	100
16:38:17	1		0		1	400
17:38:17	0		1		1	350
18:38:17	1		0		1	400
19:38:17	1		0		1	400
20:38:17	1		0		1	400
21:38:17	1		0		1	400
22:38:17	0		0		1	100
23:38:17	1		0		1	400

Location: Living Room
TIME		Heating		Ventilator	Lights	Energy Used
00:33:44	1		0		0	400
01:33:44	1		0		0	400
02:33:44	1		0		0	400
03:33:44	1		0		0	400
04:33:44	1		0		0	400
05:33:44	1		0		0	400
06:33:44	1		0		0	400
07:33:44	1		0		0	400
08:33:44	0		0		1	0
09:33:44	1		1		1	250
10:33:44	0		0		1	0
11:33:44	0		0		1	0
12:33:44	0		1		1	0
13:33:44	1		0		1	0
14:33:44	0		1		1	0
15:33:44	0		0		1	0
16:33:44	0		0		1	250
17:33:44	0		0		1	250
18:33:44	1		0		0	400
19:33:44	1		0		0	650
20:33:44	1		0		0	400
21:33:44	1		0		0	400
22:33:44	1		0		0	400
23:33:44	1		0		0	650

Energy used in KJ:
BedRoom		Kitchen		Living Room	Total
6850		7700		6850		21400
